TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2023-07-21 09:33:22.301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-C549
2023-07-21 09:33:27.960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-07-21 09:33:28.426,0.6414826,0.3831457,0.29166806,0.87386745,0.57414275,0.03769996,-0.07969057,0.6670453,0.88064384,0.27264142,0.42500138,0.844531,0.48837304,0.07740537,0.5188789,0.53016937,0.28200492,-0.10643822,0.24663012,-0.016476495,951.7216,809.89014,803.0403,871.53845,740.989,0.32696533203125,0.18646240234375,0.927978515625,5.3533935546875,-3.27484130859375,-1.07666015625,1,1.0,1.0,1.0,1.0,100.00
2023-07-21 09:33:29.156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-07-21 09:33:29.434,0.6675918,0.3849596,0.7148874,0.6696588,0.5014597,-0.36994886,0.19709185,0.54199773,0.6819828,0.124066114,0.49276277,0.84538406,0.6245482,0.08176972,0.49242052,0.50335795,0.36928603,-0.17636603,0.17228982,0.20697372,769.59705,834.4689,797.3993,778.46155,811.50183,0.0220947265625,0.08673095703125,0.9940185546875,2.235565185546875,4.149627685546875,0.740203857421875,1,1.0,1.0,1.0,1.0,100.00
2023-07-21 09:33:29.947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-07-21 09:33:30.373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-07-21 09:33:30.439,0.781922,0.44159636,0.87127984,0.8718124,0.6081009,-0.39487725,0.29952636,0.59801036,0.55880654,-0.018420573,0.43310827,0.539346,0.70231915,0.093476646,0.42974308,0.6209552,0.47324637,-0.23307453,0.26312572,0.38351473,1113.6996,1005.7143,840.5128,875.9707,761.53845,0.0462646484375,0.11871337890625,0.9697265625,0.2093505859375,-13.256378173828125,0.231781005859375,1,1.0,1.0,1.0,1.0,100.00
2023-07-21 09:33:31.451,0.781922,0.44159636,0.87127984,0.8718124,0.6081009,-0.39487725,0.29952636,0.59801036,0.55880654,-0.018420573,0.43310827,0.539346,0.70231915,0.093476646,0.42974308,0.6209552,0.47324637,-0.23307453,0.26312572,0.38351473,948.9011,686.5934,796.5934,889.67035,852.6007,0.00787353515625,0.15802001953125,0.9915771484375,5.630035400390625,-6.5496826171875,1.4654541015625,1,1.0,1.0,1.0,1.0,100.00
2023-07-21 09:33:31.785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-07-21 09:33:32.458,0.781922,0.44159636,0.87127984,0.8718124,0.6081009,-0.39487725,0.29952636,0.59801036,0.55880654,-0.018420573,0.43310827,0.539346,0.70231915,0.093476646,0.42974308,0.6209552,0.47324637,-0.23307453,0.26312572,0.38351473,1118.9377,778.86444,792.96704,997.6557,760.7326,0.00189208984375,0.15679931640625,0.9947509765625,3.5888671875,-1.233673095703125,7.716064453125,1,2.0,1.0,1.0,2.0,100.00
2023-07-21 09:33:32.476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-07-21 09:33:33.463,0.781922,0.40934244,1.0816271,0.8718124,0.6081009,-0.09481584,0.5446074,0.59801036,0.55880654,0.07352714,0.55070144,0.539346,0.70231915,0.01318215,0.45235026,0.6209552,0.47324637,-0.084316276,0.03722435,0.38351473,664.83514,784.10254,801.8315,764.7619,841.7216,0.020751953125,0.15692138671875,0.98046875,6.422576904296875,-4.882354736328125,-1.128997802734375,1,2.0,1.0,1.0,2.0,100.00
2023-07-21 09:33:33.938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-07-21 09:33:34.465,1.2073907,0.54923844,0.16922177,1.0903026,0.63947344,0.16574308,0.056449104,0.7147064,0.74557877,0.29860577,0.20112094,1.113979,0.5607288,-0.03032099,0.28569913,0.7701494,0.49581307,-0.19241193,0.1852934,0.1157617,961.39197,786.52014,809.4872,908.20514,818.7546,0.0185546875,0.15264892578125,0.98504638671875,4.687957763671875,-5.263671875,-2.011260986328125,1,1.0,1.0,1.0,1.0,100.00
2023-07-21 09:33:35.272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-07-21 09:33:35.469,0.90745795,0.5427175,0.12601323,0.69843495,0.51828486,0.05059336,-0.02147423,0.45858604,1.0029365,0.45527446,0.27593657,0.65506566,0.42829517,0.010439686,0.21446574,0.61623836,0.40732402,-0.33856818,0.104812406,0.20886855,1073.0037,776.4469,822.7839,936.0073,913.0403,0.01806640625,0.17279052734375,0.9879150390625,4.78515625,-5.4730224609375,-0.25421142578125,1,1.0,1.0,1.0,1.0,100.00
